timestamp_sec,timestamp_nsec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1697018478,198001623,0.0201951,0.0241922,0.00283917,-0.00378185,0.0021462,-0.00202762,0.999988
1697018479,299285889,0.022879,0.0649426,0.0123028,-0.00376635,0.00286495,-0.00407134,0.999981
1697018480,379710674,0.0266249,0.0372538,0.00220047,-0.0042904,0.00211847,-0.00277629,0.999985
1697018481,482013226,0.0326152,0.0259657,0.0152266,-0.00603037,0.0036179,-0.00369689,0.999968
1697018482,584267616,0.0350983,0.0723887,0.0202817,-0.00697044,0.0048255,-0.00534716,0.99995
1697018483,693121910,0.0355953,0.0552465,0.023364,-0.00380106,0.00341474,-0.00340979,0.999981
