timestamp_sec,timestamp_nsec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
8598,399444896,0.0101543,0.0191646,0.0360779,-0.00104129,0.00144342,-0.00205884,0.999996
8599,487370231,0.00776854,0.016846,0.0122371,-0.00253984,0.00152892,-0.00171088,0.999994
8600,590113972,0.0223322,0.0274591,0.025416,-0.00199313,0.00205999,-0.00212063,0.999994
8601,692650416,0.0116643,0.0295113,0.0298098,-0.00141027,0.00215333,-0.00160661,0.999995
8602,795144774,0.0283788,0.0481041,0.0395458,-0.00350056,0.00339463,-0.00298583,0.999984
8603,897621896,0.0199688,0.0185116,0.0325332,-0.00166286,0.00188997,-0.00137347,0.999996
